error	steps
191802276.0	720.0
191799054.0	721.0
191799054.0	722.0
191799054.0	723.0
191799054.0	724.0
191799054.0	725.0
191799021.0	726.0
191797741.0	727.0
191797741.0	728.0
191797741.0	729.0
191797741.0	730.0
191797741.0	731.0
191797741.0	732.0
191797605.0	733.0
191797605.0	734.0
191796539.0	735.0
191796131.0	736.0
191796131.0	737.0
191796131.0	738.0
191791235.0	739.0
191791235.0	740.0
191790897.0	741.0
191790897.0	742.0
191790897.0	743.0
191790681.0	744.0
191788273.0	745.0
191782567.0	746.0
191782152.0	747.0
191780979.0	748.0
191780979.0	749.0
191780979.0	750.0
191778917.0	751.0
191778917.0	752.0
191778917.0	753.0
191778917.0	754.0
191778917.0	755.0
191776100.0	756.0
191768350.0	757.0
191767903.0	758.0
191767010.0	759.0
191766782.0	760.0
191766782.0	761.0
191763586.0	762.0
191763586.0	763.0
191763586.0	764.0
191763586.0	765.0
191763175.0	766.0
191763175.0	767.0
191761120.0	768.0
191761120.0	769.0
191759580.0	770.0
191758950.0	771.0
191758711.0	772.0
191758711.0	773.0
191758711.0	774.0
191758711.0	775.0
191758711.0	776.0
191758711.0	777.0
191758711.0	778.0
191758711.0	779.0
191758711.0	780.0
191758711.0	781.0
191758600.0	782.0
191758600.0	783.0
191758600.0	784.0
191758600.0	785.0
191758600.0	786.0
191758489.0	787.0
191756961.0	788.0
191756741.0	789.0
191756741.0	790.0
191756741.0	791.0
191704786.0	792.0
191704786.0	793.0
191704786.0	794.0
191704786.0	795.0
191704786.0	796.0
191703544.0	797.0
191703544.0	798.0
191703544.0	799.0
191702075.0	800.0
191701957.0	801.0
191701957.0	802.0
191701788.0	803.0
191701649.0	804.0
191696796.0	805.0
191696796.0	806.0
191691804.0	807.0
191690832.0	808.0
191673008.0	809.0
191669976.0	810.0
191669976.0	811.0
191669976.0	812.0
191669976.0	813.0
191669976.0	814.0
191669976.0	815.0
191669976.0	816.0
191669976.0	817.0
191666308.0	818.0
191666308.0	819.0
191666308.0	820.0
191666308.0	821.0
191666308.0	822.0
191666308.0	823.0
191666308.0	824.0
191666308.0	825.0
191666306.0	826.0
191666306.0	827.0
191663734.0	828.0
191663734.0	829.0
191663734.0	830.0
191663734.0	831.0
191663734.0	832.0
191663734.0	833.0
191663734.0	834.0
191663734.0	835.0
191662826.0	836.0
191662826.0	837.0
191662826.0	838.0
191662826.0	839.0
191662770.0	840.0
191662770.0	841.0
191662770.0	842.0
191662770.0	843.0
191662770.0	844.0
191662770.0	845.0
191662770.0	846.0
191662770.0	847.0
191662770.0	848.0
191662583.0	849.0
191661828.0	850.0
191661828.0	851.0
191661828.0	852.0
191661828.0	853.0
191661828.0	854.0
191661828.0	855.0
191661828.0	856.0
191661828.0	857.0
191661828.0	858.0
191661828.0	859.0
191661828.0	860.0
191661828.0	861.0
191661828.0	862.0
191661828.0	863.0
191661828.0	864.0
191661299.0	865.0
191660701.0	866.0
191660701.0	867.0
191660327.0	868.0
191660327.0	869.0
191660327.0	870.0
191658289.0	871.0
191658289.0	872.0
191658123.0	873.0
191658123.0	874.0
191658123.0	875.0
191658123.0	876.0
191658123.0	877.0
191658123.0	878.0
191654892.0	879.0
191650905.0	880.0
191642862.0	881.0
191642245.0	882.0
191642245.0	883.0
191642245.0	884.0
191642245.0	885.0
191642245.0	886.0
191642245.0	887.0
191642245.0	888.0
191642245.0	889.0
191642245.0	890.0
191642065.0	891.0
191642065.0	892.0
191642065.0	893.0
191642065.0	894.0
191631880.0	895.0
191631846.0	896.0
191631846.0	897.0
191631846.0	898.0
191629598.0	899.0
191629598.0	900.0
191627731.0	901.0
191627731.0	902.0
191627731.0	903.0
191627703.0	904.0
191627703.0	905.0
191627703.0	906.0
191627703.0	907.0
191627703.0	908.0
191626832.0	909.0
191626832.0	910.0
191626832.0	911.0
191626651.0	912.0
191625494.0	913.0
191625494.0	914.0
191625494.0	915.0
191625494.0	916.0
191625494.0	917.0
191624282.0	918.0
191624282.0	919.0
191624138.0	920.0
191623418.0	921.0
191623418.0	922.0
191623418.0	923.0
191623418.0	924.0
191623418.0	925.0
191623418.0	926.0
191623418.0	927.0
191623418.0	928.0
191623381.0	929.0
191623381.0	930.0
191616143.0	931.0
191614552.0	932.0
191614552.0	933.0
191614552.0	934.0
191613527.0	935.0
191612557.0	936.0
191608813.0	937.0
191608813.0	938.0
191608813.0	939.0
191608813.0	940.0
191608813.0	941.0
191608813.0	942.0
191608813.0	943.0
191608813.0	944.0
191608813.0	945.0
191608813.0	946.0
191608629.0	947.0
191608629.0	948.0
191604267.0	949.0
191604267.0	950.0
191604267.0	951.0
191604267.0	952.0
191604267.0	953.0
191604267.0	954.0
191604267.0	955.0
191604267.0	956.0
191604150.0	957.0
191603928.0	958.0
191601606.0	959.0
191601606.0	960.0
191601606.0	961.0
191601606.0	962.0
191601606.0	963.0
191601606.0	964.0
191601606.0	965.0
191601606.0	966.0
191601606.0	967.0
191601606.0	968.0
191601606.0	969.0
191601606.0	970.0
191601606.0	971.0
191601606.0	972.0
191601606.0	973.0
191601222.0	974.0
191600448.0	975.0
191600448.0	976.0
191600448.0	977.0
191600448.0	978.0
191564773.0	979.0
191564773.0	980.0
191564773.0	981.0
191564773.0	982.0
191561873.0	983.0
191561873.0	984.0
191561873.0	985.0
191561873.0	986.0
191561873.0	987.0
191561079.0	988.0
191561079.0	989.0
191561079.0	990.0
191561079.0	991.0
191561079.0	992.0
191561079.0	993.0
191561079.0	994.0
191561079.0	995.0
191561023.0	996.0
191561023.0	997.0
191561023.0	998.0
191561023.0	999.0
191561023.0	1000.0
191559895.0	1001.0
191559895.0	1002.0
191559895.0	1003.0
191559895.0	1004.0
191559895.0	1005.0
191559895.0	1006.0
191559895.0	1007.0
191541525.0	1008.0
191539395.0	1009.0
191536316.0	1010.0
191536197.0	1011.0
191536197.0	1012.0
191536197.0	1013.0
191536197.0	1014.0
191536197.0	1015.0
191536197.0	1016.0
191536197.0	1017.0
191536197.0	1018.0
191536197.0	1019.0
191536197.0	1020.0
191536197.0	1021.0
191536197.0	1022.0
191536197.0	1023.0
191536197.0	1024.0
191536197.0	1025.0
191536197.0	1026.0
191536197.0	1027.0
191536197.0	1028.0
191536197.0	1029.0
191536197.0	1030.0
191534749.0	1031.0
191534039.0	1032.0
191532212.0	1033.0
191531681.0	1034.0
191531399.0	1035.0
191531399.0	1036.0
191531399.0	1037.0
191531399.0	1038.0
191531399.0	1039.0
191531399.0	1040.0
191531399.0	1041.0
191531399.0	1042.0
191531399.0	1043.0
191531399.0	1044.0
191531399.0	1045.0
191531399.0	1046.0
191531399.0	1047.0
191531399.0	1048.0
191531399.0	1049.0
191529832.0	1050.0
191529832.0	1051.0
191529832.0	1052.0
191529832.0	1053.0
191529832.0	1054.0
191529832.0	1055.0
191529832.0	1056.0
191529832.0	1057.0
191529832.0	1058.0
191529832.0	1059.0
191529832.0	1060.0
191529832.0	1061.0
191529832.0	1062.0
191529560.0	1063.0
191529560.0	1064.0
191529560.0	1065.0
191529560.0	1066.0
191525228.0	1067.0
191525228.0	1068.0
191525228.0	1069.0
191525228.0	1070.0
191525228.0	1071.0
191525228.0	1072.0
191525228.0	1073.0
191525228.0	1074.0
191525228.0	1075.0
191525228.0	1076.0
191525228.0	1077.0
191525228.0	1078.0
191525228.0	1079.0
191525228.0	1080.0
191525228.0	1081.0
191525228.0	1082.0
191525228.0	1083.0
191525228.0	1084.0
191525228.0	1085.0
191525228.0	1086.0
191524801.0	1087.0
191524801.0	1088.0
191524801.0	1089.0
191524801.0	1090.0
191524801.0	1091.0
191524801.0	1092.0
191524801.0	1093.0
191524545.0	1094.0
191524307.0	1095.0
191524307.0	1096.0
191523918.0	1097.0
191523918.0	1098.0
191523918.0	1099.0
191523918.0	1100.0
191523918.0	1101.0
191523918.0	1102.0
191523918.0	1103.0
191523918.0	1104.0
191523918.0	1105.0
191523918.0	1106.0
191523918.0	1107.0
191523918.0	1108.0
191523918.0	1109.0
191522550.0	1110.0
191522550.0	1111.0
191522550.0	1112.0
191522550.0	1113.0
191522550.0	1114.0
191522550.0	1115.0
191522550.0	1116.0
191522550.0	1117.0
191522550.0	1118.0
191522548.0	1119.0
191522548.0	1120.0
191522548.0	1121.0
191522548.0	1122.0
191522548.0	1123.0
191522548.0	1124.0
191522548.0	1125.0
191522548.0	1126.0
191520484.0	1127.0
191520446.0	1128.0
191520446.0	1129.0
191519821.0	1130.0
191519821.0	1131.0
191519821.0	1132.0
191519821.0	1133.0
191519821.0	1134.0
191519821.0	1135.0
191519821.0	1136.0
191519821.0	1137.0
191519821.0	1138.0
191519821.0	1139.0
191519821.0	1140.0
191519821.0	1141.0
191519821.0	1142.0
191519372.0	1143.0
191518654.0	1144.0
191518582.0	1145.0
191518582.0	1146.0
191518582.0	1147.0
191518582.0	1148.0
191518582.0	1149.0
191518582.0	1150.0
191518582.0	1151.0
191518582.0	1152.0
191518582.0	1153.0
191518582.0	1154.0
191518582.0	1155.0
191518582.0	1156.0
191518582.0	1157.0
191518582.0	1158.0
191518582.0	1159.0
191518582.0	1160.0
191518582.0	1161.0
191518347.0	1162.0
191516547.0	1163.0
191516547.0	1164.0
191515793.0	1165.0
191515793.0	1166.0
191515793.0	1167.0
191515793.0	1168.0
191515793.0	1169.0
191515793.0	1170.0
191515793.0	1171.0
191515793.0	1172.0
191515793.0	1173.0
191515793.0	1174.0
191515793.0	1175.0
191513297.0	1176.0
191511784.0	1177.0
191511784.0	1178.0
191510468.0	1179.0
191510468.0	1180.0
191510468.0	1181.0
191510468.0	1182.0
191510468.0	1183.0
191510468.0	1184.0
191510468.0	1185.0
191510468.0	1186.0
191508874.0	1187.0
191507865.0	1188.0
191507732.0	1189.0
191507732.0	1190.0
191507732.0	1191.0
191507732.0	1192.0
191507732.0	1193.0
191507732.0	1194.0
191507732.0	1195.0
191507732.0	1196.0
191507732.0	1197.0
191507732.0	1198.0
191507732.0	1199.0
191507732.0	1200.0
191507732.0	1201.0
191507732.0	1202.0
191507732.0	1203.0
191507732.0	1204.0
191507732.0	1205.0
191507732.0	1206.0
191507732.0	1207.0
191507732.0	1208.0
191507732.0	1209.0
191507732.0	1210.0
191507585.0	1211.0
191507585.0	1212.0
191507585.0	1213.0
191507585.0	1214.0
191507585.0	1215.0
191507585.0	1216.0
191507585.0	1217.0
191507585.0	1218.0
191507585.0	1219.0
191506338.0	1220.0
191506338.0	1221.0
191506338.0	1222.0
191506338.0	1223.0
191506338.0	1224.0
191506338.0	1225.0
191505284.0	1226.0
191505284.0	1227.0
191505284.0	1228.0
191505284.0	1229.0
191505284.0	1230.0
191505284.0	1231.0
191505284.0	1232.0
191505229.0	1233.0
191505229.0	1234.0
191505229.0	1235.0
191505229.0	1236.0
191505229.0	1237.0
191505229.0	1238.0
191505229.0	1239.0
191505229.0	1240.0
191505229.0	1241.0
191505229.0	1242.0
191505229.0	1243.0
191505229.0	1244.0
191505229.0	1245.0
191505229.0	1246.0
191504854.0	1247.0
191504854.0	1248.0
191504854.0	1249.0
191504854.0	1250.0
191504854.0	1251.0
191504854.0	1252.0
191504854.0	1253.0
191504854.0	1254.0
191504854.0	1255.0
191504854.0	1256.0
191504854.0	1257.0
191504854.0	1258.0
191504854.0	1259.0
191504854.0	1260.0
191504854.0	1261.0
191504854.0	1262.0
191504854.0	1263.0
191504854.0	1264.0
191504854.0	1265.0
191504854.0	1266.0
191504854.0	1267.0
191504854.0	1268.0
191504739.0	1269.0
191504075.0	1270.0
191502300.0	1271.0
191502300.0	1272.0
191502300.0	1273.0
191502300.0	1274.0
191502300.0	1275.0
191502300.0	1276.0
191502300.0	1277.0
191502300.0	1278.0
191502300.0	1279.0
191502300.0	1280.0
191502300.0	1281.0
191502300.0	1282.0
191502300.0	1283.0
191502300.0	1284.0
191502300.0	1285.0
191502300.0	1286.0
191502300.0	1287.0
191501978.0	1288.0
191501978.0	1289.0
191501978.0	1290.0
191501978.0	1291.0
191501978.0	1292.0
191501978.0	1293.0
191501978.0	1294.0
191501978.0	1295.0
191501978.0	1296.0
191501978.0	1297.0
191501978.0	1298.0
191501978.0	1299.0
191501978.0	1300.0
191501978.0	1301.0
191501978.0	1302.0
191501978.0	1303.0
191501007.0	1304.0
191501007.0	1305.0
191501007.0	1306.0
191501007.0	1307.0
191501007.0	1308.0
191501007.0	1309.0
191501007.0	1310.0
191501007.0	1311.0
191501007.0	1312.0
191501007.0	1313.0
191501007.0	1314.0
191501007.0	1315.0
191501007.0	1316.0
191501007.0	1317.0
191501007.0	1318.0
191501007.0	1319.0
191501007.0	1320.0
191501007.0	1321.0
191501007.0	1322.0
191501007.0	1323.0
191500697.0	1324.0
191500697.0	1325.0
191500697.0	1326.0
191500697.0	1327.0
191500697.0	1328.0
191500697.0	1329.0
191500697.0	1330.0
191500361.0	1331.0
191499125.0	1332.0
191499125.0	1333.0
191499125.0	1334.0
191499125.0	1335.0
191499125.0	1336.0
191499125.0	1337.0
191499125.0	1338.0
191499125.0	1339.0
191499125.0	1340.0
191499125.0	1341.0
191499125.0	1342.0
191499125.0	1343.0
191499125.0	1344.0
191499125.0	1345.0
191499125.0	1346.0
191499125.0	1347.0
191499125.0	1348.0
191499125.0	1349.0
191499125.0	1350.0
191499125.0	1351.0
191499125.0	1352.0
191499125.0	1353.0
191499125.0	1354.0
191499125.0	1355.0
191499125.0	1356.0
191499125.0	1357.0
191499125.0	1358.0
191499125.0	1359.0
191499125.0	1360.0
